Sentence,Previous,Next
"Under Rule 3, the
Central Government shall designate by notification in the official gazette an officer of the Central
Government not below the rank of a Joint Secretary as the Designated Officer for the purpose of
issuing direction for blocking for access by the public any information referable to Section 69A of
the Act.","Under sub-section (2) thereof, the 2009 Rules have been framed.","Under Rule 4, every organization as defined under Rule 2(g), (which refers to the
Government of India, State Governments, Union Territories and agencies of the Central
Government as may be notified in the Official Gazette by the Central Government)- is to designate
one of its officers as the ""Nodal Officer""."
"Under Rule 6, any person may send their complaint to the
""Nodal Officer"" of the concerned Organization for blocking, which complaint will then have to be
examined by the concerned Organization regard being had to the parameters laid down in Section
69A(1) and after being so satisfied, shall transmit such complaint through its Nodal Officer to the
Designated Officer in a format specified by the Rules.","Under Rule 4, every organization as defined under Rule 2(g), (which refers to the
Government of India, State Governments, Union Territories and agencies of the Central
Government as may be notified in the Official Gazette by the Central Government)- is to designate
one of its officers as the ""Nodal Officer"".","The Designated Officer is not to entertain any
complaint or request for blocking directly from any person."
"In addition to the above safeguards,
under Rule 14 a Review Committee shall meet at least once in two months and record its findings as
to whether directions issued are in accordance with Section 69A(1) and if it is of the contrary
opinion, the Review Committee may set aside such directions and issue orders to unblock the said
information.","Under
Rule 10, in the case of an order of a competent court in India, the Designated Officer shall, on
receipt of a certified copy of a court order, submit it to the Secretary, Department of Information
Technology and then initiate action as directed by the Court.","Under Rule 16, strict confidentiality shall be maintained regarding all the requests and
complaints received and actions taken thereof."
"Learned counsel for the petitioners assailed the constitutional validity of Section 69A, and
assailed the validity of the 2009 Rules.",108.,"According to learned counsel, there is no pre-decisional
hearing afforded by the Rules particularly to the ""originator"" of information, which is defined under
Section 2(za) of the Act to mean a person who sends, generates, stores or transmits any electronic
message; or causes any electronic message to be sent, generated, stored or transmitted to any other
person."
"According to learned counsel, there is no pre-decisional
hearing afforded by the Rules particularly to the ""originator"" of information, which is defined under
Section 2(za) of the Act to mean a person who sends, generates, stores or transmits any electronic
message; or causes any electronic message to be sent, generated, stored or transmitted to any other
person.","Learned counsel for the petitioners assailed the constitutional validity of Section 69A, and
assailed the validity of the 2009 Rules.","Further, procedural safeguards such as which are provided under Section 95 and 96 of the
Code of Criminal Procedure are not available here."
"Further, procedural safeguards such as which are provided under Section 95 and 96 of the
Code of Criminal Procedure are not available here.","According to learned counsel, there is no pre-decisional
hearing afforded by the Rules particularly to the ""originator"" of information, which is defined under
Section 2(za) of the Act to mean a person who sends, generates, stores or transmits any electronic
message; or causes any electronic message to be sent, generated, stored or transmitted to any other
person.","Also, the confidentiality provision was assailed
stating that it affects the fundamental rights of the petitioners."
"It will be noticed that Section 69A unlike Section 66A is a narrowly drawn provision with
several safeguards.",109.,"First and foremost, blocking can only be resorted to where the Central
Government is satisfied that it is necessary so to do."
"It is only an intermediary who finallyShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 49fails to comply with the directions issued who is punishable under sub-section (3) of Section 69A.","Above all, it is only after these
procedural safeguards are met that blocking orders are made and in case there is a certified copy of a
court order, only then can such blocking order also be made.",111.
"Merely because certain additional safeguards such as those found in Section 95 and 96 CrPC are
not available does not make the Rules constitutionally infirm.",111.,"We are of the view that the Rules are
not constitutionally infirm in any manner."
"Section 79 and the Information Technology (Intermediary Guidelines) Rules, 2011.","We are of the view that the Rules are
not constitutionally infirm in any manner.",112.
"Section 79 belongs to Chapter XII of the Act in which intermediaries are exempt from liability if
they fulfill the conditions of the Section.",112.,"Section 79 states:
""79."
"Section 79 states:
""79.","Section 79 belongs to Chapter XII of the Act in which intermediaries are exempt from liability if
they fulfill the conditions of the Section.","Exemption from liability of intermediary in certain cases.-(1) Notwithstanding
anything contained in any law for the time being in force but subject to the provisions
of sub-sections (2) and (3), an intermediary shall not be liable for any third party
information, data, or communication link made available or hosted by him."
"Further, no safeguards are provided as in the 2009 Rules made under Section 69A.","Firstly,
the intermediary is called upon to exercise its own judgment under sub-rule (4) and then disable
information that is in contravention of sub-rule (2), when intermediaries by their very definition are
only persons who offer a neutral platform through which persons may interact with each other over
the internet.","Also, for the very reasons that Section 66A is bad, the petitioners assailed sub-rule (2) of Rule 3
saying that it is vague and over broad and has no relation with the subjects specified under Article
19(2)."
"Also, for the very reasons that Section 66A is bad, the petitioners assailed sub-rule (2) of Rule 3
saying that it is vague and over broad and has no relation with the subjects specified under Article
19(2).","Further, no safeguards are provided as in the 2009 Rules made under Section 69A.",115.
"One of the petitioners' counsel also assailed Section 79(3)(b) to the extent that it makes the
intermediary exercise its own judgment upon receiving actual knowledge that any information is
being used to commit unlawful acts.",115.,"Further, the expression ""unlawful acts"" also goes way beyond
the specified subjects delineated in Article 19(2)."
It must first be appreciated that Section 79 is an exemption provision.,116.,"Being an exemption
provision, it is closely related to provisions which provide for offences including Section 69A."
"Being an exemption
provision, it is closely related to provisions which provide for offences including Section 69A.",It must first be appreciated that Section 79 is an exemption provision.,"We
have seen how under Section 69A blocking can take place only by a reasoned order after complying
with several procedural safeguards including a hearing to the originator and intermediary."
"We
have seen how under Section 69A blocking can take place only by a reasoned order after complying
with several procedural safeguards including a hearing to the originator and intermediary.","Being an exemption
provision, it is closely related to provisions which provide for offences including Section 69A.","We have
also seen how there are only two ways in which a blocking order can be passed - one by the
Designated Officer after complying with the 2009 Rules and the other by the Designated Officer
when he has to follow an order passed by a competent court."
"The intermediary applying its own
mind to whether information should or should not be blocked is noticeably absent in Section 69A
read with 2009 Rules.","We have
also seen how there are only two ways in which a blocking order can be passed - one by the
Designated Officer after complying with the 2009 Rules and the other by the Designated Officer
when he has to follow an order passed by a competent court.",117.
"Section 79(3)(b) has to be read down to mean that the intermediary upon receiving actual
knowledge that a court order has been passed asking it to expeditiously remove or disable access to
certain material must then fail to expeditiously remove or disable access to that material.",117.,"This is for
the reason that otherwise it would be very difficult for intermediaries like Google, Facebook etc."
"Unlawful acts beyond what is laid down in Article 19(2) obviously
cannot form any part of Section 79.","Also, the Court order and/or the
notification by the appropriate Government or its agency must strictly conform to the subject
matters laid down in Article 19(2).","With these two caveats, we refrain from striking down Section
79(3)(b).Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 52118."
"With these two caveats, we refrain from striking down Section
79(3)(b).Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 52118.","Unlawful acts beyond what is laid down in Article 19(2) obviously
cannot form any part of Section 79.","The learned Additional Solicitor General informed us that it is a common practice worldwide
for intermediaries to have user agreements containing what is stated in Rule 3(2)."
"However, Rule
3(4) needs to be read down in the same manner as Section 79(3)(b).","The learned Additional Solicitor General informed us that it is a common practice worldwide
for intermediaries to have user agreements containing what is stated in Rule 3(2).","The knowledge spoken of in the
said sub-rule must only be through the medium of a court order."
"In conclusion, we may summarise what has been held by us above:
Section 66A of the Information Technology Act, 2000 is struck down in its entirety
being violative of Article 19(1)(a) and not saved under Article 19(2).",119.,"Section 69A and the Information Technology (Procedure & Safeguards for Blocking
for Access of Information by Public) Rules 2009 are constitutionally valid."
"Section 69A and the Information Technology (Procedure & Safeguards for Blocking
for Access of Information by Public) Rules 2009 are constitutionally valid.","In conclusion, we may summarise what has been held by us above:
Section 66A of the Information Technology Act, 2000 is struck down in its entirety
being violative of Article 19(1)(a) and not saved under Article 19(2).","Section 79 is valid subject to Section 79(3)(b) being read down to mean that an
intermediary upon receiving actual knowledge from a court order or on being notified
by the appropriate government or its agency that unlawful acts relatable to Article
19(2) are going to be committed then fails to expeditiously remove or disable access
to such material."
"Section 79 is valid subject to Section 79(3)(b) being read down to mean that an
intermediary upon receiving actual knowledge from a court order or on being notified
by the appropriate government or its agency that unlawful acts relatable to Article
19(2) are going to be committed then fails to expeditiously remove or disable access
to such material.","Section 69A and the Information Technology (Procedure & Safeguards for Blocking
for Access of Information by Public) Rules 2009 are constitutionally valid.","Similarly, the Information Technology ""Intermediary Guidelines""
Rules, 2011 are valid subject to Rule 3 sub-rule (4) being read down in the same
manner as indicated in the judgment."
"Section 118(d) of the Kerala Police Act is struck down being violative of Article
19(1)(a) and not saved by Article 19(2).","Similarly, the Information Technology ""Intermediary Guidelines""
Rules, 2011 are valid subject to Rule 3 sub-rule (4) being read down in the same
manner as indicated in the judgment.",All the writ petitions are disposed in the above terms.
"-----------------------
[2]The genealogy of this Section may be traced back to Section 10(2)(a) of the U.K.
Post Office (Amendment) Act, 1935, which made it an offence to send any message by
telephone which is grossly offensive or of an indecent, obscene, or menacing
character.","Nariman) New Delhi, March 24, 2015.","This Section was substantially reproduced by Section 66 of the UK Post
Office Act, 1953 as follows:
66."
"This Section was substantially reproduced by Section 66 of the UK Post
Office Act, 1953 as follows:
66.","-----------------------
[2]The genealogy of this Section may be traced back to Section 10(2)(a) of the U.K.
Post Office (Amendment) Act, 1935, which made it an offence to send any message by
telephone which is grossly offensive or of an indecent, obscene, or menacing
character.","Prohibition of sending offensive or false telephone messages or false telegrams,
etc."
"This Section in turn was replaced by Section 49 of the British Telecommunication Act, 1981 and
Section 43 of the British Telecommunication Act, 1984.","If any person-
(a)sends any message by telephone which is grossly offensive or of an indecent, obscene or
menacing character ;Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 53(b)sends any message by telephone, or any telegram, which he knows to be false, for the purpose of
causing annoyance, inconvenience or needless anxiety to any other person ; or
(c)persistently makes telephone calls without reasonable cause and for any such purpose as
aforesaid, he shall be liable on summary conviction to a fine not exceeding ten pounds, or to
imprisonment for a term not exceeding one month, or to both.","In its present form in the UK, it is Section
127 of the Telecommunication Act, 2003 which is relevant and which is as follows:-
127."
"In its present form in the UK, it is Section
127 of the Telecommunication Act, 2003 which is relevant and which is as follows:-
127.","This Section in turn was replaced by Section 49 of the British Telecommunication Act, 1981 and
Section 43 of the British Telecommunication Act, 1984.","Improper use of public electronic communications network A person is guilty of
an offence if he -
sends by means of a public electronic communications network a message or other matter that is
grossly offensive or of an indecent, obscene or menacing character; or cause any such message or
matter to be so sent."
